Username,Tweet,Retweet_Count,Favourite_Count,Date
=@LeeM999888777,Cheating death: China's Wuhan coronavirus survivors recall ordeal @AJENews  https://t.co/OcM75yAZbK,0,0,20 06 2020 02:06.PM
=@TomthunkitsMind,"China is using repressive security and surveillance technology, first tested on Uyghur Muslims, to censor and control coverage of the Coronavirus outbreak.

https://t.co/dWdbhYO0wP
#ThursdayThoughts",4,1,20 06 2020 02:06.PM
=@bonitastreeet,"My goodness ?, Chinese Reporter reports hospital certificates.. #wuhan #coronavirus #letterfromwuhan https://t.co/LfZXWAVm0V via @YouTube",0,0,20 05 2020 02:05.PM
=@SWVVJJ,"If man can fool American President, think how easy to fool him Entertainment oriented & Cricket fans ,Foolish Pathetic Indians.

Modi G please visit CHINA & stay in Wuhan for 10 days, Mere 15 lakh mein se kaat lena apni visit ka kharcha..
Donating my 15 lakhs for a noble cause",1,3,20 05 2020 02:05.PM
=@Control7007,@BarryLaclam @Wuhan_Clan Clamtastic!!,1,2,20 05 2020 02:05.PM
=@rowanshole,"@JWink2011 @ArtemBariev @WillyWonkaXRP I have no proof that isnt wuhan and they've got blankets over their heads therefore, as you have so ably argued- they are dead from corina virus.",0,0,20 05 2020 02:05.PM
=@wordpower12,"#wuhan In an effort to prevent the spread of #COVID-19, the upcoming marathon to be held in Tokyo on March 1st will be drastically downsized, from planned 38,000 to 200 runners. Mass non-professional participants will not be allowed to compete. https://t.co/UGULB1dhOZ",0,0,20 05 2020 02:05.PM
=@htTweets,"IAF’s Wuhan evacuation flight delayed as coronavirus death toll surges past 2,000

(reports @spatranobis) 

https://t.co/6yfa4natWl https://t.co/EV0fV1prZq",4,12,20 05 2020 02:05.PM
=@booyah_tech,There has been 50% rise in rest of the world #COVID2019 cases in the last 24 hrs.. not good. Just 1:4 ratio with #China cases today. Was 1:20 a week ago. #Coronavirustruth #WuhanCoronavirus #COVID19 @COVID_19NEWS @COVID19Info #Wuhan https://t.co/gCHcrEao0k,2,1,20 04 2020 02:04.PM
=@DoobiestB,#coronavirus #COVID19 2019-nCoV  ??   Wuhan Hubei China outbreak  Official confirmed been previously hospitalized in serious condition & existing chronic diseases. The official spoke anonymously  R???    @7NewsWatertown #wwny Twitter Twits!  https://t.co/PpOCihWI9m,0,0,20 04 2020 02:04.PM
=@VincentGithaiga,We had over 300M to bury a dead person but we are unable to evacuate Kenyans in Wuhan @Ma3Route @bonifacemwangi @KBonimtetezi,0,0,20 04 2020 02:04.PM
=@corona_robot,"Confirmed: 75,727 (+1)
Recovered: 16,447 (+20)
Deaths: 2,128 (0)
#Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COVID19",1,0,20 04 2020 02:04.PM
=@shiningindnews,"IAF’s evacuation flight to Wuhan delayed as coronavirus death toll in China jumps to 2,118
https://t.co/7B3ZXPmzoP https://t.co/pBnV2KilGw",1,0,20 04 2020 02:04.PM
=@TomthunkitsMind,CHINA HAS QUARANTINED 60 MILLION PEOPLE- THE LARGEST IN HISTORY. PROBLEM IS 5 MILLION PEOPLE LEFT THE INFECTED ZONES BEFORE THE LOCKDOWN.  Will the Largest Quarantine in History Just Make Things Worse?https://t.co/V8yVOIGy7Z #coronarvirues this is very worrying.  03 #FBR,3,4,20 04 2020 02:04.PM
=@cathyeverywhere,A virus called Wuhan-400 causes outbreak … in a Dean Koontz thriller from 1981. How is it that some books appear to prophesy events? https://t.co/JavPMuQAb1 via @scmpnews,0,0,20 04 2020 02:04.PM
=@MohnaAnsari,Happy to received you back to homeland #Wuhan rescued students family reached today to thanks commission for immediate action. Thank you to govt for responding to our decision. https://t.co/y0FIZ7dP9Q,0,6,20 04 2020 02:04.PM
=@etzelbee,"COVID 19 from Wuhan,China with love",0,0,20 03 2020 02:03.PM
=@dmac5dmark2,"Patients with milder symptoms are staying at this makeshift hospital in a gymnasium in #Wuhan, China. #COV19 #coronavirus https://t.co/VRiXLfUl9z",0,1,20 03 2020 02:03.PM
=@B_run_o18,"Apparently there's a statement from Batswana students living in Wuhan calling out Chinese ambassador to Bots and the Botswana Government for lying about their situation, have ya'll seen it le re bontshe",0,1,20 03 2020 02:03.PM
=@JENNYYA18035137,"@matanevenoff #CCP autocracy must be held accountable for #WuhanCoronvirus !
It's leaked from war lab in #Wuhan! Totally anti-human!
#China regime is devastating the world! https://t.co/3iLs57v0oV",0,1,20 02 2020 02:02.PM
=@Joelleecg,"Previously, Hubei, including Wuhan, also counted clinically diagnosed patients as confirmed cases. This changed on Wednesday with a new treatment plan, which will count only those who have tested positive in a nucleic acid test",0,0,20 02 2020 02:02.PM
=@OneMinPsychic,China deploys 40 incinerators amid fears of coronavirus death toll 'cover up' https://t.co/829YzpBNfT,0,0,20 02 2020 02:02.PM
=@DCClothesline,"Report from South Korean News: New Speculation from CHINESE Scientists, Coronavirus Could Have Started at Wuhan Center for Disease Control, Just 280 Meters from Fish Market https://t.co/wYsxq68wMG via @DCClothesline",0,0,20 01 2020 02:01.PM
=@Joelleecg,"In Wuhan, provincial capital of Hubei, changes in diagnostic criteria continued to affect the number of reported cases. There were 615 new cases recorded, but the NHC said the actual number was 359, after some cases were removed because of the diagnostic change.",0,0,20 01 2020 02:01.PM
=@EnochYuan,@DrTedros @WHO What is your view on 45 confirmed cases in China outside of Wuhan in the past day? Maybe your statisticians can help?,0,0,20 01 2020 02:01.PM
=@ArtOfTheMakina,Imagine the staggering brain drain that will occur if #coronavavirus kills millions worldwide . Dumb people will rule earth. #VirusBrainDrain #Wuhan #COVID19 #CoronavirusOutbreak #Coronavirustruth,0,1,20 01 2020 02:01.PM
=@n1wp,China deploys 40 incinerators amid fears of coronavirus death toll 'cover up' https://t.co/ByhOUgQ5Lt,0,0,20 01 2020 02:01.PM
=@GoChurch2017,"BREAKING NEWS WSJ: OVER 5,400 PEOPLE IN UNITED STATES  ARE IN SELF QUARA... https://t.co/t419eIhwO7 via @YouTube #CORNOAVIRUSUPDATE #Wuhan #BreakingNews #TrendingNow #Covid19 #ThursdayMotivation #ThursdayThoughts",1,0,20 00 2020 02:00.PM
=@kalos_kat,=@cognitarians What I tell myself on a secret flight to Wuhan,0,1,20 00 2020 02:00.PM
=@GreenLibDems,"Coronavirus and the wildlife trade! It is said to have originated at the Huanan Wholesale Seafood Market, in Wuhan, China, where wild animals, such as turtles, snakes, hedgehogs and marmots, are sold live https://t.co/UlFF43NpE6 @HSIUKorg @liberalinternat @amcarmichaelMP @LDCRE1 https://t.co/qIRJMGRbsT",2,1,20 00 2020 02:00.PM
=@globaltimesnews,I consider myself one of Wuhan people: An Iranian's helping hand amid #COVID19 fight https://t.co/u2eYOkfAJF https://t.co/RXt1VXVpJL,1,12,20 00 2020 02:00.PM
=@Wuhan_Clan,@BarryLaclam The clam man !!!,0,1,20 00 2020 02:00.PM
=@DoobiestB,"#coronavirus #COVID19 2019-nCoV  ??  
Wuhan Hubei China outbreak

South Korea's city of Daegu closes public libraries, orders kindergartens to suspend classes for the time being - Yonhap
R???  

@7NewsWatertown #wwny Twitter Twits!
https://t.co/6smEZtf6gp",3,2,20 00 2020 02:00.PM
=@WashTimesOpEd,Joseph R. DeTrani: “Did the authorities in Wuhan report the virus in a timely and accurate manner?” #WashTimesOpEd  https://t.co/GXSa8QtJiC,0,0,20 00 2020 02:00.PM
=@DaPathanGuy,China deploys forty incinerators to Wuhan amid coronavirus outbreak – 1 The united states News Network https://t.co/00zAJLSDGg https://t.co/DM7GnNjyHY,0,0,20 00 2020 02:00.PM
=@TPE_connect,"China coronavirus outbreak: Death toll climbs to 2,004, infects over 74,185 people..... #Coronavirus #Wuhan #China #COVID #CoronavirusOutbreak #CoronavirusChina #WuhanCoronavirus #COVID19 https://t.co/xo0WL0HJqn",1,0,20 00 2020 02:00.PM
=@thepapercn,"Scenes from a Wuhan module hospital for #COVID19: medical workers put on protective suits before entry; besides resting, patients can read and watch TV; a nurse takes a break by the wall. (Photos: The Paper/Zhao Siwei) https://t.co/4Rtz9PVeeH https://t.co/YqyAyD50W1",0,2,20 00 2020 02:00.PM
=@Third_IQ,Yeah that virus ain’t come out of those wet markets.. shits getting weird  #Wuhan,0,1,20 00 2020 02:00.PM
=@Alistair1911x,"Oh, peachy: We now have bombshell, smoking gun evidence that the CoVid-19 “Wuhan” coronavirus was specifically engineered as an offensive biological warfare weapon, designed to target to exterminate human beings. https://t.co/3FqcAgXbOm",0,1,20 59 2020 01:59.PM
=@prodbyyendis,"Watched a video explaining that the Wuhan virus was a plot. It encapsulated getting rid of the protesters, scoop up orphanage children for Pedo & blood sacrifice rings, a test for a Bio Weapon.",0,0,20 59 2020 01:59.PM
=@lyn_junii,"i dont think the necessity to track infected patients that never been to hubei/mainland since many countries too late to close border/(warning)travel ban from/to hubei&mainland
cnov already epidemic in wuhan on Dec, pandemic on Jan.
? sad for 3 countries rapid epidemic, JP-SG-SK",0,0,20 59 2020 01:59.PM
=@novomarcos1975,UN Troops Featured in World Military Games in Wuhan China Weeks Before C... https://t.co/wWi8OgsnFQ via @YouTube,0,0,20 59 2020 01:59.PM
=@JamesMadej,"@JennaEllisEsq @LaraLeaTrump @realDonaldTrump Ca. turning red. China now using 40 industrial incinerators in Wuhan, medical, animal use. Pelosi allowed tourists from area return to Chinatown, S.F. That area of 20 mile range, coronavirus, H5N1, bio lab & IF combined into filthy S.F. ,4 hells into one.",0,0,20 59 2020 01:59.PM
=@TtPEmpireMaker,You still don’t like https://t.co/IAZdRXSxcq for a ton of free picks and analysis?  #LoveIsBlind #TheMaskSinger #MarriageInOneWord #My600IbLife #BREAKING #DemocraticDebate #TrumpRallyPhoenix #HorseRacing #GamblingTwitter #Wuhan #Bachelor #TrumpinAZ #Indian2 #JIMIN #COVID2019 https://t.co/c3XY5V6LvU,0,2,20 58 2020 01:58.PM
=@k29664911,Public buildings converted into medical facilities for coronavirus patients in Chinese city of Wuhan – South China Morning Post https://t.co/V0mtLu1dq2,0,0,20 58 2020 01:58.PM
@4beaks,@AdnanSamiLive Tell this Syed virus to go to 'Wuhan' in China and get back the Pakistani students stuck up there !,0,0,20 58 2020 01:58.PM
=@BenKTallmadge,"1MDB Fugitive Jho Low Was Active in Wuhan, Malaysia Police Say -

“I have told Kuala Lumper International Airport to monitor if he comes back with Coronavirus.” ?

Isn’t China’s underground nuclear Great Wall in Hubei?

?@MischaEDM? ?@DTinLAC? https://t.co/KLcIhtGV03",17,20,20 58 2020 01:58.PM
=@mouldcapital,"@calicobayfarm @SharePickers Possibly, but they have large 9 crematoriums in Wuhan and those are working flat out, and have been for weeks.. So even if these are just for medical waste, real death toll is much higher then stated (probably 10x)",0,0,20 58 2020 01:58.PM
=@angelwanchan,@WaiLo01 @quietquietwin Ship them to Wuhan !!,0,2,20 58 2020 01:58.PM
=@PulpNews,"Hit by Wuhan flu: How diggers, diamonds and even #James #Bond are among the #victims of th - Feb 20 @ 12:57 AM ET https://t.co/9hB4ZXYP4t",0,0,20 58 2020 01:58.PM
=@vonklein300,$AIM ImmunoTech Issues Stockholder Update on the Potential Role of Ampligen for Use Against the Wuhan #Coronavirus Epidemic  $NVAX $APT $BCRX $INO $CODX  https://t.co/joFzdiEUvL,0,1,20 58 2020 01:58.PM
=@Schtaunkhauser,Restaurant owner targeted by WeChat coronavirus rumour bewildered by lies spread online  Racist.  Racist.  Racist.  ?@Wuhan_Clan? #WuhanMoments #WuhanWu https://t.co/77DHiRpXSt,0,2,20 58 2020 01:58.PM
=@BillysGodchild,"If they had been transported out earlier, they might be alive. If they had been transported out earlier, there might not be over 500 infected on that ship.
#TrumpIsAnIdiot #Wuhan #COVID2019 https://t.co/v81nXaxX7E",0,0,20 57 2020 01:57.PM
=@limepunch,@nikki_miumiu @CNN Japan has lost its mind or doesn’t care. It just wants to unload this hot potato. Never mind these are potential carriers despite testing negative. The test has an accuracy rate of only 30-50%. Doctors in Wuhan have warned some patients tested negative 4-5 times.,0,0,20 57 2020 01:57.PM
=@weedcanada411,SMOKING GUN: China Bought Weaponized Wuhan Virus From US https://t.co/sJ0yXQDWKG,0,0,20 57 2020 01:57.PM
=@NewsLiveZW,"Is Zim ready to combat Coronavirus? A suspected case of coronavirus was confirmed in Zimbabwe at Wilkins hospital after a 27-year old woman traveled to and from Wuhan (source city of coronavirus), to buy t-shirts!!
https://t.co/MD8gT3624Y",0,0,20 57 2020 01:57.PM
=@jayjaystreams,"Anyone here following Ben Kavanagh from Wuhan China?
He has his own channel now Ben's Nine Lives on #youtube 
#covid19 #corona #virus #coronavirus #guy #coronavirusguy #ben #kavanagh #wuhan #china #ncov #NCOV19 #grand #vlogger #vlog #vlogging #live #stream
https://t.co/CH9otyKyEo",0,1,20 57 2020 01:57.PM
=@DaPathanGuy,Discover Inside: China deploys forty incinerators to Wuhan amid coronavirus outbreak – 1 The united states News N https://t.co/00zAJMaexO,0,0,20 56 2020 01:56.PM
=@Birottam,Confirmed deaths in Hubei taper and today the number of new cases is lowest after the Wuhan lockdown started in January. Hoping the trend continues into next week. #COVID2019 #Coronavius https://t.co/W9488C7iUF,1,2,20 56 2020 01:56.PM
=@hor_wall_iii,"=@MisterAntiBully Wait, were they also eating bat soup at the Wuhan bioweapons lab??",0,1,20 56 2020 01:56.PM
=@enabore_mar,Directly to Wuhan china without any protective gear for COVID-19. https://t.co/iARdmIs90I,0,0,20 56 2020 01:56.PM
=@tibbs_cindy,UN Troops Featured in World Military Games in Wuhan China Weeks Before C... https://t.co/zGq06RjRNU via @YouTube @IngrahamAngle @realDonaldTrump,0,1,20 56 2020 01:56.PM
=@arbronca,"@PDChina Give them also some meats or fish, vegetables are not enough to fight diseases fish, chicken, beef, pork is better
https://t.co/9YYZRjfcKz",0,0,20 56 2020 01:56.PM
=@TomthunkitsMind,"I'm CONFUSED. IF THE VIRUS IS TRANSMITTED HUMAN TO HUMAN BUT THERE ARE NO HUMANS ON THE STREETS BECAUSE OF THE 60M PPL QUARANTINE, THEN WHY ARE THEY SPRAYING THE STREETS?

Another video of chemical disinfection in the streets of Wuhan #coronavirus  https://t.co/aRlkNuNIhS
#FBR",4,7,20 56 2020 01:56.PM
=@ukemeabasi_ita,@fireboydml @fireboydml Appreciation Tweet ?  #fireboy #UltmateLoveNg #ChampionsLeague #CastleLiteUnlocks #Wuhan #DemocraticDebate https://t.co/jk3Xy1RrSW,0,1,20 56 2020 01:56.PM
=@slowbob,"China invokes HOLOCAUST HORRORS as 40 mobile incineration ovens are deployed in Wuhan, labeled for disposal of “animal corpses” https://t.co/DTuZDovO8X",0,0,20 55 2020 01:55.PM
=@KrockcityE,"KWATCOIN CRYPTOCURRENCY
With recent outbursts of excitement about ?Kwatcoin"", a new cryptocurrency that seems to be making waves, You may be wondering why there's a need for another crypto currency and if investing in kwatcoin would be a smart mov #Wuhan https://t.co/ijkAM05TQn",0,0,20 55 2020 01:55.PM
=@KrauseForIowa,Does the change in policy explain the drop in confirmed cases & confirmed deaths in #Wuhan? Chest X-rays have been around for a while & lots of equipment & knowledge exists. Partial fragments of corona virus #RNA -- not so much. https://t.co/UJHwzyc0a7,1,1,20 55 2020 01:55.PM
=@CaptAKJ,@EndGameWW3 U guys have really a very strong & deeper relationship with #China. Things showing up slowly. Stay safe.  #coronavirus #Wuhan #USA,0,1,20 55 2020 01:55.PM
=@corona_robot,"Confirmed: 75,726 (+1)
Recovered: 16,427 (+97)
Deaths: 2,128 (0)
#Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COVID19",0,0,20 55 2020 01:55.PM
=@loop360,"As if the world is short of any new surprises after the Wuhan Virus, we see Turkey determined to wage an all-out war with Syria cum Russia. A bluff or something new? Mind you, Turkey is NATO's ally. #WW3 https://t.co/7KYhV1T3AS",0,0,20 54 2020 01:54.PM
=@slowbob,RIPPLE EFFECT: Huge disruptions in pharmaceutical supplies reported in INDIA after Wuhan coronavirus disrupts production in China https://t.co/VQCBATYGYj,0,0,20 54 2020 01:54.PM
=@SueFay1,Just imagine hiding out in Wuhan! https://t.co/8ahOJ3eiaf,0,0,20 54 2020 01:54.PM
=@CHOHO32817547,@IsChinar The Wuhan Clan ain't playing.,0,0,20 54 2020 01:54.PM
=@calle82748696,"One America News Twitterissä: ""China Deploys 40 Incinerators To Wuhan Amid Coronavirus Outbreak https://t.co/TUswSO9Fjj #OANN https://t.co/a3OsNHEpCp"" / Twitter https://t.co/rr6QxGggd9",0,0,20 54 2020 01:54.PM
=@Iceroom8,Chinese do not want to lose face and would never admit that their bioweapons program went out of hand and that a Zionist infiltrator stole a sample of virus from Wuhan lab and set it free to infect the Chinese people.,0,0,20 54 2020 01:54.PM
=@BarryLaclam,@Wuhan_Clan Guess who's back in the mother#@$&in house?!?!,0,1,20 53 2020 01:53.PM
=@JuddkZa,Yeah neh....the Wuhan virus.....the Chinese tho?? https://t.co/uKrSz7iuh3,0,0,20 53 2020 01:53.PM
=@Tx_LuciLou,? Gordon Chang: It is possible the coronavirus came from secret Wuhan bio lab  https://t.co/nNg5b25tKt,0,1,20 53 2020 01:53.PM
=@Beaubier,"Thursday Feb 20th, 2pm in Beijing #china #WuhanVirus #wuhan #coronavirus #investing #economy #SupplyChain https://t.co/6ANZTEU5fK",1,0,20 53 2020 01:53.PM
=@CaptAKJ,"@viratfx @IndoPac_Info Unsure abt this. #Thailand too is showing sm gd nmbrs.
Let's look at another factor then. 
Eating habits? We in #India kill most f d bacteria in d frying pan itself.
Now look at d eating habits in Far East in this context. 
That's jst a layman's input.
#China #Coronavirus #Wuhan",0,1,20 53 2020 01:53.PM
=@JicolART,Various sources/often downplayed numbers : https://t.co/eOUAQGOvWK ~ 1)https://t.co/TLCHrB4On9 2)https://t.co/aaS4aA85D2 3)https://t.co/gI6eUFGpgd... 4)https://t.co/oHHuIvlLwk 5)https://t.co/SOh0oXc0Zc 5)https://t.co/N0s27jtzF4 6)https://t.co/pebdSwkjRL 7)https://t.co/qhNlF0yHsm,0,0,20 53 2020 01:53.PM
=@ViratHinduu,India should bring paki students from Wuhan and negotiate with kubhushan.?,0,0,20 53 2020 01:53.PM
=@Simon_Peter_Lee,=@DrTaraO Choo Mi-ae seems to be completely crazy. Choo is criticizing the United States for preventing the Chinese from entering the U.S to prevent the spread of Wuhan pneumonia.,1,3,20 53 2020 01:53.PM
=@DeLaCruzTine,Vietnam- Iran and China all have cities on lockdown. It is a matter of time before more countries including the US implement same measures.  Are we ready here in the US for #covid19 #coronavirus?    not sure  we are   #wuflu #wuhan #SARSCoV2 #justtheflu #CoronavirusOutbreak,1,1,20 52 2020 01:52.PM
=@AdamHarryCassi1,"GOP senator Tom Cotton suggests coronavirus could've come from Wuhan ""super lab,"" not seafood market: China's ""still lying today"" https://t.co/4UTB78iGCg",0,1,20 52 2020 01:52.PM
=@StillReforming,"This was some new metadata on #coronavirus that came out yesterday.
Based on this information, if it was purely mathematical, I would say that the virus has nearly peaked, at least in Wuhan ... but I think we can all agree it's more complicated than that.
https://t.co/lHocQKqqhx https://t.co/5vpLYTwp5m",0,0,20 52 2020 01:52.PM
=@trixienovel,"Be prepared, not Scared
#Wuhan #CoronaVirus #Communism #WuhanOutbreak2019 #CoVID19 #breaking_news #Media #Law #government #Democracy #Republicans #Libertarians #corporations #Trump #DrainTheDeepState #MAGA #Survival #censorship #Health #Medical
https://t.co/BlwVPb5csA",3,0,20 52 2020 01:52.PM
=@LaneBIIAF,China Deploys 40 Mobile Incinerators To Wuhan: Report | Zero Hedge https://t.co/4qg0ypIcyv,1,2,20 52 2020 01:52.PM
=@MillyRomaparigi,"On the #laStampa italian newspaper, today, the  mail of Wuhan director, under ordres from Beijin which silenced # doctors and journalists from #Wuhan on #coronavirus.  gvt felt into the panels. ""It's only 1 flu"" INTERNET USERS COMMUNICATED THE TRUTH TO GVT  #CoronavirusFrance https://t.co/BdWXLQxvOH",0,1,20 52 2020 01:52.PM
=@besthealthyou,"Nearly 100 people gathered in #Poltava region to protest a possible #quarantine of 73 people who are on their way to #Ukraine from #Wuhan #China. What a shame! No confirm location of the hospital. In #Russia, quarantine has ended successfully. Nobody got sick with #Coronavirus.",0,1,20 52 2020 01:52.PM
=@Ryani__,The 'mighty prophet' is conspicuously missing since the corona virus outbreak. He should be on the next flight to Wuhan to heal the sick,0,0,20 51 2020 01:51.PM
=@AndrewLankinen1,New article up #WuhanCoronavirus #Coverup #Coronaviruscoverup #China Deploys 40 Incinerators to #Wuhan as Cover up Fears Grow https://t.co/kbXiuZ0C6P,1,0,20 51 2020 01:51.PM
=@Nkalala,"@owishemwe @JaneRuth_Aceng This coronavirus is part of 100 year plan, it will subside and re-emerge after ten years, this is not fiction. Doctors please look up for this wuhan 400 lab production. https://t.co/6ssRcgdp8h",0,0,20 51 2020 01:51.PM
=@NewPowerArt,"#chuntianle, #???#????#Impressionism, #????#?????, #NewPowerArt, #FourSeason, #????, #????, #Springishere, #4seasonimpressionism,#????, #???? - ???? “Spring is Coming Back to Wuhan, China” Self-Comp... https://t.co/Cc4pjgMHFY via @YouTube",0,1,20 51 2020 01:51.PM
=@whitesiderica,Well this is concerning. Harvard Professor ties to Wuhan Uni. Arrested by D.O.J. Why isn’t this getting national news? https://t.co/TmcTvRPboB,0,0,20 51 2020 01:51.PM
=@CafeDeLady1,=@carl_lin_tw Nobody knows who produced Wuhan coronavirus?,1,0,20 51 2020 01:51.PM
=@trixienovel,"Be prepared, not Scared
#Wuhan #CoronaVirus #Communism #WuhanOutbreak2019 #CoVID19 #breaking_news #Media #Law #government #Democracy #Republicans #Libertarians #corporations #Trump #DrainTheDeepState #MAGA #Survival #censorship #Health #Medical
https://t.co/gtFLgFCsql",0,0,20 51 2020 01:51.PM
=@charlesnyaga90,=@Railajunior they should be sebt to their coronated country Wuhan,0,0,20 51 2020 01:51.PM
=@SH03326684,"""Dawn is breaking and we are seeing light coming through""

Jiayou #Wuhan #China #Chinese

#coronavirus #COVID19

https://t.co/LsNMZ9Ztkc",0,0,20 51 2020 01:51.PM
=@AdamHarryCassi1,"Folks, this is as serious as it gets - this is how irresponsible our leaders have become WTF

This is MSN, not some fringe site - THIS IS NOW MAINSTREAM NEWS

https://t.co/ccGec6sdnC",1,4,20 51 2020 01:51.PM
=@mmmmwohan,"Snowstorm, Wuhan Virus, Chinese Micro Dust, Could Not Keep Away the Crowd Calling for Moon Jae-in to Step Down - East Asia Research Center| East Asia Research Center https://t.co/HlMpflFTTO @DrTaraO ?? ??",0,0,20 51 2020 01:51.PM
=@cnni,"Jho Low, the fugitive businessman at the center of the 1MDB scandal, may be hiding in Wuhan, where the coronavirus outbreak began, according to Malaysian authorities. https://t.co/6ZGGArIjDb",23,42,20 51 2020 01:51.PM
=@creart_lab,"[#AI | #medical]
""But a #Canadian #health monitoring #platform had beaten them both to the punch, sending word of the outbreak to its customers on December 31.""
> An #AI #Epidemiologist Sent the First Warnings of the #WuhanVirus

#COVID19 #Coronavirus
https://t.co/3HcA3AgzyP",1,2,20 50 2020 01:50.PM
=@yoshitomo_imura,The city of Yokohama where I live is at high risk of becoming another Wuhan Most people are walking around town using masks Some hospitals do not allow family members to visit Japan is definitely spreading the virus due to governmental authoritarianism,0,1,20 50 2020 01:50.PM
=@AdamHarryCassi1,"Omg it is Justin Castro, that explains a lot.

Nothing would surprise me.  It's so great to see people getting it, I know it's hard to spit it out, so I'll just get out into traffic in a life jacket with a broken car antennae and say YES IT'S COMMUNISM !!

https://t.co/ccGec6sdnC https://t.co/GowMb2OBOS",0,1,20 50 2020 01:50.PM
=@JamesJosephwil4,Penny should be sent to live in Wuhan..,0,0,20 50 2020 01:50.PM
=@mouldcapital,@SharePickers China has now deployed 40 mobile incinerators to Wuhan – Each capable to combust 200-400kg/hour. This means Wuhan has the capacity to cremate 2000-4500 bodies extra per day. It is highly likely that the official death toll is false. https://t.co/oaG5FTbkCd  #coronavirus #COVID19,2,3,20 50 2020 01:50.PM
=@MP68774135,"=@BOX217 people of Japan need to decide sacrificing weeks, or sacrificing years of economics activities for fighting with Wuhan virus.",0,1,20 50 2020 01:50.PM
@0dayDB,"=@BBCWorld the Japanese government needs to pay attention, otherwise it will be the next Wuhan",0,1,20 49 2020 01:49.PM
=@RedpillRocky,"@jason_howerton You are just jealous that #Bloomberg sticks to the facts and doesn’t pivot or project at ALL, Mr. Meanie. #Bachelor #My600IbLife #Wuhan #TheMaskSinger #COVID2019 #emptihad #TacoMask #AEWAtlanta https://t.co/z3VE9Ox9R7",0,0,20 49 2020 01:49.PM
=@KenSteen,"@rocza @LaPetiteMorte Yes, I'm aware that it is a BSL3 lab, hoops, and everything else notwithstanding, this seems to indicate that the Wuhan lab is the source (at some point) of the COVID19 virus.",0,0,20 49 2020 01:49.PM
=@globaltimesnews,"Welcome to #Wuhan! Newly appointed Consul General of #SouthKorea in Wuhan, Kang Seung-seok, arrived in the city on a cargo plane Thursday midnight, with relief supplies donated by the Korean government, enterprises, and private sectors. #COVID19 https://t.co/L9HShroaix",14,53,20 49 2020 01:49.PM
=@caida59105742,"@paulmozur 
Mr. Mozur,
I am from Carrboro High School and am researching social interactions during the quarantine in Wuhan. We would love to interview you. If interested contact me at  cmstanelle@students.chccs.k12.nc.us
Thank you for your consideration,
Caida Stanelle",0,0,20 49 2020 01:49.PM
=@osambolly,=@Sir_BenBoye @UGOsaintcristo @MobilePunch those virus are made by some crazy scientists to reduce the population of human. and that Wuhan alone have very large number of population.,0,0,20 49 2020 01:49.PM
=@grady_ll,"Dear Lord I pray for the Corona virus outbreak in wuhan, that residents can find masks.  As they are sold out in stores.  I pray for protection, provision and for missionaries and witness opportunities to abound in Jesus name.",0,0,20 48 2020 01:48.PM
=@dashalosesit,"""Let's see what's on twitter today""

>half the dash thinks socialism will work
>everyone else is paranoid over the Wuhan coronavirus because of sensationalist news

This is why we can't have nice things",0,0,20 48 2020 01:48.PM
=@TheHeeraa,"Why should #China govt destroy it's #Labs by #Explosions?

Hide the evidence of manufacturing of #BioWeapons ?

#BioWeapons 
#Coronavirustruth #CoronoVirus #Wuhan #CoronavirusOutbreak https://t.co/BEO7X1meWo",2,2,20 48 2020 01:48.PM
=@TomthunkitsMind,"Maps: The coronavirus has been detected in at least 24 other countries, most involving people who traveled from China. As of Monday morning, at least 910 people have died, all but two in mainland China. https://t.co/pyPK44KXi8
#WednsdayWisdom",1,3,20 48 2020 01:48.PM
=@LiungSh,"""No winter lasts forever
Every spring is sure to follow""

Stay Strong #Wuhan #China #Chinese 
Jiayou #Wuhan #China #Chinese

#coronavirus #Covid19 

https://t.co/iAyzb2Z5Vr",0,0,20 48 2020 01:48.PM
=@Soya_Cincau,"With the internet awash with news surrounding the 2019 novel Coronavirus (COVID-19), it can become hard to ascertain just how much of it is blind panic and how much of it is actually news. Oh, and in case you missed it, Let’s Talk About is also a ... https://t.co/MvhR5ranmF",0,1,20 48 2020 01:48.PM
=@zionpearl,"Folly of Kenyan MPs.. staying updated on nothing but BBI, then patronizing us with fake shock to distract us from calling them out on issues. @OAmollo: are there any Rarieda constituents in Wuhan? What have you done about coronavirus in Rarieda? We can Google the rest ourselves!! https://t.co/pONbXnmbqq",0,0,20 47 2020 01:47.PM
=@madmanbegins,=@Michael_Yon hope society outbreak of Wuhan nCOV19 Can be terminated. otherwise these hotels May finally be hired for quarantine purpose.,0,0,20 47 2020 01:47.PM
=@SprfIndia,"The Coronavirus outbreak, first identified in Wuhan, China, has now been declared a public health emergency. The nation-wide shutdown in China as a result has had a serious impact on the global supply chain.
(1/4)
#CoronavirusOutbreak
#COVD19 #China #Wuhan #WuhanOutbreak #Trade https://t.co/sfT7zRKFFR",1,1,20 47 2020 01:47.PM
